"Label","Newark city, Essex County, New Jersey!!Occupied housing units!!Estimate","Newark city, Essex County, New Jersey!!Percent occupied housing units!!Estimate","Newark city, Essex County, New Jersey!!Owner-occupied housing units!!Estimate","Newark city, Essex County, New Jersey!!Percent owner-occupied housing units!!Estimate","Newark city, Essex County, New Jersey!!Renter-occupied housing units!!Estimate","Newark city, Essex County, New Jersey!!Percent renter-occupied housing units!!Estimate"
"Occupied housing units","98,678","98,678","24,896","24,896","73,782","73,782"
"HOUSEHOLD SIZE","","","","","",""
"    1-person household","33,747","34.2%","6,702","26.9%","27,045","36.7%"
"    2-person household","24,225","24.5%","7,388","29.7%","16,837","22.8%"
"    3-person household","17,700","17.9%","3,718","14.9%","13,982","19.0%"
"    4-or-more-person household","23,006","23.3%","7,088","28.5%","15,918","21.6%"
"OCCUPANTS PER ROOM","","","","","",""
"    1.00 or less occupants per room","92,347","93.6%","23,239","93.3%","69,108","93.7%"
"    1.01 to 1.50 occupants per room","4,241","4.3%","1,217","4.9%","3,024","4.1%"
"    1.51 or more occupants per room","2,090","2.1%","440","1.8%","1,650","2.2%"
"HOUSEHOLD TYPE (INCLUDING LIVING ALONE) AND AGE OF HOUSEHOLDER","","","","","",""
"    Family households","61,057","61.9%","16,892","67.9%","44,165","59.9%"
"        Married-couple family","28,755","29.1%","11,469","46.1%","17,286","23.4%"
"            Householder 15 to 34 years","4,809","4.9%","760","3.1%","4,049","5.5%"
"            Householder 35 to 64 years","19,257","19.5%","7,612","30.6%","11,645","15.8%"
"            Householder 65 years and over","4,689","4.8%","3,097","12.4%","1,592","2.2%"
"        Other family","32,302","32.7%","5,423","21.8%","26,879","36.4%"
"            Male householder, no wife present","6,548","6.6%","1,518","6.1%","5,030","6.8%"
"                Householder 15 to 34 years","1,572","1.6%","65","0.3%","1,507","2.0%"
"                Householder 35 to 64 years","4,093","4.1%","980","3.9%","3,113","4.2%"
"                Householder 65 years and over","883","0.9%","473","1.9%","410","0.6%"
"            Female householder, no husband present","25,754","26.1%","3,905","15.7%","21,849","29.6%"
"                Householder 15 to 34 years","6,813","6.9%","182","0.7%","6,631","9.0%"
"                Householder 35 to 64 years","15,737","15.9%","2,258","9.1%","13,479","18.3%"
"                Householder 65 years and over","3,204","3.2%","1,465","5.9%","1,739","2.4%"
"    Nonfamily households","37,621","38.1%","8,004","32.1%","29,617","40.1%"
"        Householder living alone","33,747","34.2%","6,702","26.9%","27,045","36.7%"
"            Householder 15 to 34 years","6,394","6.5%","475","1.9%","5,919","8.0%"
"            Householder 35 to 64 years","18,247","18.5%","3,460","13.9%","14,787","20.0%"
"            Householder 65 years and over","9,106","9.2%","2,767","11.1%","6,339","8.6%"
"        Householder not living alone","3,874","3.9%","1,302","5.2%","2,572","3.5%"
"            Householder 15 to 34 years","1,817","1.8%","129","0.5%","1,688","2.3%"
"            Householder 35 to 64 years","1,534","1.6%","755","3.0%","779","1.1%"
"            Householder 65 years and over","523","0.5%","418","1.7%","105","0.1%"
"FAMILY TYPE AND PRESENCE OF OWN CHILDREN","","","","","",""
"    With related children of householder under 18 years","35,132","35.6%","6,454","25.9%","28,678","38.9%"
"        With own children of householder under 18 years","30,330","30.7%","4,601","18.5%","25,729","34.9%"
"            Under 6 years only","6,581","6.7%","587","2.4%","5,994","8.1%"
"            Under 6 years and 6 to 17 years","5,208","5.3%","1,124","4.5%","4,084","5.5%"
"            6 to 17 years only","18,541","18.8%","2,890","11.6%","15,651","21.2%"
"        No own children of householder under 18 years","4,802","4.9%","1,853","7.4%","2,949","4.0%"
"    No related children of householder under 18 years","63,546","64.4%","18,442","74.1%","45,104","61.1%"
